First Name,Last Name,Identification Number,Date Of Birth,Address,Phone Number,Saving Account Number,Savings Starting Balance,Checking Account NUmber,Checking Starting Balance,Credit Account Number,Credit Starting Balance,Credit Max
Mickey,Mouse,1,13-Jun-73,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2000,812.85,1000,812.85,3000,812.85,7521.0
Donald,Duck,2,24-Apr-14,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2001,1484.29,1001,1484.29,3001,1484.29,5119.0
Minnie,Mouse,3,25-Dec-83,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2002,1349.72,1002,1349.72,3002,1349.72,4768.0
Goofy,Disney,4,3-Oct-42,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2003,687.52,1003,687.52,3003,687.52,8167.0
Pluto,Disney,5,14-Nov-69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2004,597.14,1004,597.14,3004,597.14,7890.0
Chip,Disney,6,22-Sep-36,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2005,1354.66,1005,1354.66,3005,1354.66,3676.0
Dale,Disney,7,13-Feb-62,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2006,1124.54,1006,1124.54,3006,1124.54,3142.0
Cinderella,Disney,8,7-Feb-57,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2007,1532.36,1007,1532.36,3007,1532.36,4627.0
Ariel,Disney,9,22-Sep-04,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2008,1202.08,1008,1202.08,3008,1202.08,9947.0
Jasmine,Disney,10,29-Jul-89,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2009,1404.59,1009,1404.59,3009,1404.59,8614.0
Aladdin,Disney,11,15-Sep-70,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2010,1302.91,1010,1302.91,3010,1302.91,8099.0
Simba,Disney,12,28-Sep-50,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2011,259.09,1011,259.09,3011,259.09,7814.0
Mufassa,Disney,13,13-Dec-59,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2012,1741.23,1012,1741.23,3012,1741.23,7199.0
Aurora,Disney,14,14-Dec-69,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2013,683.71,1013,683.71,3013,683.71,6592.0
Peter,Pan,15,17-Apr-04,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2014,486.17,1014,486.17,3014,486.17,7646.0
Woody,Disney,16,29-May-81,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2015,1465.52,1015,1465.52,3015,1465.52,3905.0
Buzz,Lightyear,17,30-Apr-30,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2016,1001.5,1016,1001.5,3016,1001.5,9296.0
Jafar,Aladdin,18,25-Jul-41,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2017,1566.97,1017,1566.97,3017,1566.97,5906.0
Ursela,Mermaid,19,13-Feb-65,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2018,1908.35,1018,1908.35,3018,1908.35,3423.0
Beast,Disney,20,12-Sep-65,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2019,1315.73,1019,1315.73,3019,1315.73,8168.0
Belle,Disney,21,13-Jan-47,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2020,1456.65,1020,1456.65,3020,1456.65,9601.0
Cruella,De Vil,22,19-Jun-14,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2021,1449.05,1021,1449.05,3021,1449.05,8021.0
Scar,Lion,23,9-Dec-96,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2022,843.84,1022,843.84,3022,843.84,6306.0
Simba,King,24,6-Jun-34,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2023,613.55,1023,613.55,3023,613.55,8578.0
Gaston,Disney,25,8-Jul-78,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,2024,864.15,1024,864.15,3024,864.15,6533.0
